Date;Temperature_CostaRica
22/01/2020;26
23/01/2020;30
24/01/2020;31
25/01/2020;29
26/01/2020;29
27/01/2020;28
28/01/2020;30
29/01/2020;28
30/01/2020;29
31/01/2020;29
01/02/2020;31
02/02/2020;29
03/02/2020;29
04/02/2020;30
05/02/2020;30
06/02/2020;31
07/02/2020;33
08/02/2020;29
09/02/2020;29
10/02/2020;29
11/02/2020;29
12/02/2020;30
13/02/2020;30
14/02/2020;28
15/02/2020;28
16/02/2020;30
17/02/2020;29
18/02/2020;28
19/02/2020;30
20/02/2020;28
21/02/2020;29
22/02/2020;29
23/02/2020;31
24/02/2020;32
25/02/2020;29
26/02/2020;31
27/02/2020;33
28/02/2020;28
29/02/2020;30
01/03/2020;29
02/03/2020;32
03/03/2020;32
04/03/2020;30
05/03/2020;32
06/03/2020;28
07/03/2020;29
08/03/2020;28
09/03/2020;29
10/03/2020;31
11/03/2020;29
12/03/2020;30
13/03/2020;32
14/03/2020;30
15/03/2020;31
16/03/2020;28
17/03/2020;31
18/03/2020;31
19/03/2020;30
20/03/2020;30
21/03/2020;28
22/03/2020;31
23/03/2020;30
24/03/2020;28
25/03/2020;32
26/03/2020;30
27/03/2020;32
28/03/2020;32
29/03/2020;28
30/03/2020;31
31/03/2020;30
01/04/2020;31
02/04/2020;32
03/04/2020;30
04/04/2020;33
05/04/2020;34
06/04/2020;34
07/04/2020;33
08/04/2020;34
09/04/2020;33
10/04/2020;33
11/04/2020;29
12/04/2020;30
13/04/2020;28
14/04/2020;28
15/04/2020;27
16/04/2020;28
17/04/2020;29
18/04/2020;29
19/04/2020;27
20/04/2020;28
21/04/2020;28
22/04/2020;29
23/04/2020;28
24/04/2020;28
25/04/2020;26
26/04/2020;26
27/04/2020;26
28/04/2020;26
29/04/2020;25
30/04/2020;25