Date;Temperature_Italy
22/01/2020;9
23/01/2020;9
24/01/2020;9
25/01/2020;8
26/01/2020;11
27/01/2020;10
28/01/2020;9
29/01/2020;15
30/01/2020;11
31/01/2020;13
01/02/2020;10
02/02/2020;7
03/02/2020;11
04/02/2020;15
05/02/2020;14
06/02/2020;12
07/02/2020;13
08/02/2020;11
09/02/2020;9
10/02/2020;11
11/02/2020;19
12/02/2020;16
13/02/2020;11
14/02/2020;15
15/02/2020;13
16/02/2020;14
17/02/2020;11
18/02/2020;15
19/02/2020;14
20/02/2020;14
21/02/2020;16
22/02/2020;15
23/02/2020;16
24/02/2020;19
25/02/2020;14
26/02/2020;15
27/02/2020;12
28/02/2020;16
29/02/2020;10
01/03/2020;8
02/03/2020;9
03/03/2020;12
04/03/2020;14
05/03/2020;10
06/03/2020;11
07/03/2020;16
08/03/2020;14
09/03/2020;10
10/03/2020;16
11/03/2020;20
12/03/2020;15
13/03/2020;19
14/03/2020;14
15/03/2020;14
16/03/2020;15
17/03/2020;17
18/03/2020;20
19/03/2020;21
20/03/2020;18
21/03/2020;20
22/03/2020;15
23/03/2020;9
24/03/2020;12
25/03/2020;9
26/03/2020;8
27/03/2020;13
28/03/2020;19
29/03/2020;19
30/03/2020;16
31/03/2020;10
01/04/2020;11
02/04/2020;14
03/04/2020;17
04/04/2020;19
05/04/2020;19
06/04/2020;21
07/04/2020;22
08/04/2020;22
09/04/2020;24
10/04/2020;25
11/04/2020;27
12/04/2020;25
13/04/2020;21
14/04/2020;24
15/04/2020;19
16/04/2020;22
17/04/2020;23
18/04/2020;24
19/04/2020;20
20/04/2020;22
21/04/2020;21
22/04/2020;21
23/04/2020;22
24/04/2020;22
25/04/2020;22
26/04/2020;23
27/04/2020;18
28/04/2020;19
29/04/2020;20
30/04/2020;18