Date;Temperature_Lebanon
22/01/2020;16
23/01/2020;15
24/01/2020;13
25/01/2020;14
26/01/2020;15
27/01/2020;16
28/01/2020;17
29/01/2020;18
30/01/2020;17
31/01/2020;16
01/02/2020;17
02/02/2020;17
03/02/2020;18
04/02/2020;17
05/02/2020;20
06/02/2020;22
07/02/2020;16
08/02/2020;14
09/02/2020;9
10/02/2020;10
11/02/2020;13
12/02/2020;16
13/02/2020;19
14/02/2020;17
15/02/2020;19
16/02/2020;17
17/02/2020;16
18/02/2020;17
19/02/2020;17
20/02/2020;17
21/02/2020;19
22/02/2020;17
23/02/2020;16
24/02/2020;17
25/02/2020;17
26/02/2020;18
27/02/2020;19
28/02/2020;19
29/02/2020;17
01/03/2020;17
02/03/2020;18
03/03/2020;18
04/03/2020;24
05/03/2020;25
06/03/2020;18
07/03/2020;18
08/03/2020;21
09/03/2020;26
10/03/2020;18
11/03/2020;19
12/03/2020;27
13/03/2020;26
14/03/2020;19
15/03/2020;19
16/03/2020;18
17/03/2020;19
18/03/2020;15
19/03/2020;15
20/03/2020;13
21/03/2020;14
22/03/2020;18
23/03/2020;19
24/03/2020;20
25/03/2020;18
26/03/2020;21
27/03/2020;22
28/03/2020;19
29/03/2020;20
30/03/2020;20
31/03/2020;27
01/04/2020;19
02/04/2020;19
03/04/2020;20
04/04/2020;23
05/04/2020;34
06/04/2020;19
07/04/2020;20
08/04/2020;20
09/04/2020;20
10/04/2020;18
11/04/2020;19
12/04/2020;20
13/04/2020;20
14/04/2020;22
15/04/2020;22
16/04/2020;23
17/04/2020;21
18/04/2020;22
19/04/2020;22
20/04/2020;23
21/04/2020;26
22/04/2020;26
23/04/2020;26
24/04/2020;24
25/04/2020;23
26/04/2020;23
27/04/2020;23
28/04/2020;20
29/04/2020;21
30/04/2020;20